epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.8934,0.96542,2.9808,1.1016,0.02987,0.97391,0.21023,0.16341,0.67023,2.82906,0.85659,0.00018,0.00018,0.00018
2,141.466,0.82398,1.246,0.93993,0.97813,0.82174,0.94002,0.75718,0.73098,1.66266,0.86496,0.000376238,0.000376238,0.000376238
3,185.224,0.76374,0.82301,0.92027,0.96652,0.87874,0.94223,0.78501,0.69885,1.32615,0.85528,0.000568516,0.000568516,0.000568516
4,229.074,0.74074,0.73483,0.90651,0.92561,0.91966,0.93577,0.75486,0.70008,1.11134,0.8478,0.000756834,0.000756834,0.000756834
5,272.724,0.72236,0.69441,0.90543,0.94192,0.91739,0.9668,0.7754,0.70247,1.19574,0.84136,0.000941192,0.000941192,0.000941192
6,314.748,0.74435,0.66231,0.91012,0.97745,0.94213,0.98644,0.82945,0.64569,0.96341,0.83585,0.00112159,0.00112159,0.00112159
7,358.904,0.72483,0.66259,0.91432,0.97304,0.94145,0.975,0.79609,0.72889,0.91061,0.86157,0.00129803,0.00129803,0.00129803
8,403.477,0.76388,0.63898,0.92131,0.96966,0.92174,0.98107,0.83185,0.61714,0.82377,0.84081,0.00147051,0.00147051,0.00147051
9,444.651,0.73071,0.59618,0.90315,0.9824,0.97088,0.99308,0.83248,0.62009,0.78854,0.83897,0.00163902,0.00163902,0.00163902
10,492.429,0.70831,0.57698,0.89084,0.99105,0.96267,0.99269,0.83519,0.6187,0.74333,0.84626,0.00180358,0.00180358,0.00180358
11,552.952,0.68793,0.55563,0.89002,0.98751,0.9087,0.97438,0.82653,0.61381,0.66383,0.85045,0.001802,0.001802,0.001802
12,598.206,0.68028,0.55705,0.89689,1,0.95794,0.98396,0.84357,0.59477,0.75978,0.84035,0.0017822,0.0017822,0.0017822
13,641.931,0.68247,0.53848,0.89242,1,0.95329,0.99121,0.85155,0.5842,0.69112,0.83729,0.0017624,0.0017624,0.0017624
14,686.894,0.67176,0.52019,0.88042,0.99034,0.89191,0.9587,0.80107,0.6839,0.86621,0.86804,0.0017426,0.0017426,0.0017426
