epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.34,1.00726,3.02196,1.12827,0.0296,0.96522,0.30527,0.2362,0.67696,2.73061,0.85278,0.0002,0.0002,0.0002
2,49.5977,0.81695,1.12254,0.9227,0.97635,0.68261,0.91013,0.70853,0.81571,1.82637,0.87832,0.000415842,0.000415842,0.000415842
3,65.3091,0.77726,0.81181,0.91846,0.9949,0.84894,0.95967,0.79204,0.6842,1.34203,0.84827,0.000627328,0.000627328,0.000627328
4,82.7814,0.75263,0.71593,0.90727,0.94379,0.90435,0.96293,0.76112,0.72925,1.0105,0.86072,0.000834458,0.000834458,0.000834458
5,98.2632,0.7365,0.68631,0.90362,0.97252,0.92174,0.97736,0.76569,0.77333,0.91439,0.87537,0.00103723,0.00103723,0.00103723
6,113.953,0.79441,0.66367,0.92998,0.97291,0.93689,0.9884,0.78286,0.73,0.79448,0.86108,0.00123565,0.00123565,0.00123565
7,130.232,0.73968,0.64852,0.90645,0.99534,0.92925,0.9811,0.82336,0.68037,0.81379,0.8544,0.00142971,0.00142971,0.00142971
8,146.516,0.73317,0.61888,0.91015,0.99103,0.96032,0.99326,0.8354,0.63189,0.87014,0.84115,0.00161942,0.00161942,0.00161942
9,163.76,0.73034,0.628,0.90073,0.99111,0.96942,0.99301,0.84253,0.61039,0.63121,0.84243,0.00180477,0.00180477,0.00180477
10,179.668,0.71371,0.57693,0.89627,0.97984,0.96522,0.99182,0.84558,0.58137,0.6846,0.84724,0.0018218,0.0018218,0.0018218
11,196.75,0.68997,0.57052,0.89593,0.97688,0.91836,0.97566,0.81062,0.66009,0.69797,0.86621,0.001802,0.001802,0.001802
12,212.254,0.70657,0.5585,0.9043,0.9729,0.93664,0.9904,0.82933,0.65997,0.70019,0.86319,0.0017822,0.0017822,0.0017822
13,228.486,0.71125,0.54422,0.90066,0.96558,0.97569,0.99294,0.86404,0.5771,0.59151,0.84672,0.0017624,0.0017624,0.0017624
14,245.432,0.69357,0.51817,0.89638,0.99555,0.97298,0.99223,0.85076,0.56175,0.53206,0.83991,0.0017426,0.0017426,0.0017426
15,262.151,0.68727,0.50876,0.89735,0.98416,0.93043,0.98123,0.84577,0.54943,0.53685,0.83776,0.0017228,0.0017228,0.0017228
16,278.006,0.65655,0.48166,0.88961,0.97786,0.95998,0.99044,0.85236,0.58019,0.50796,0.84798,0.001703,0.001703,0.001703
17,294.272,0.63437,0.47986,0.89052,0.97619,0.98696,0.9917,0.84248,0.59119,0.49678,0.84503,0.0016832,0.0016832,0.0016832
18,310.937,0.64858,0.48023,0.88244,0.99208,0.96087,0.98826,0.85867,0.55418,0.48569,0.84258,0.0016634,0.0016634,0.0016634
19,328.446,0.66144,0.46538,0.89051,0.99505,0.97391,0.99306,0.86726,0.53962,0.44709,0.83236,0.0016436,0.0016436,0.0016436
20,344.549,0.65913,0.4676,0.88715,0.99109,0.96743,0.99309,0.86903,0.55443,0.46857,0.83751,0.0016238,0.0016238,0.0016238
21,361.889,0.63944,0.44939,0.88556,0.9839,0.99565,0.9947,0.86643,0.5347,0.42399,0.83042,0.001604,0.001604,0.001604
22,378.953,0.65832,0.45483,0.88897,0.99127,0.98742,0.99447,0.87414,0.52665,0.40125,0.82932,0.0015842,0.0015842,0.0015842
23,395.05,0.649,0.45181,0.88415,0.99349,0.97826,0.99465,0.86522,0.53617,0.39299,0.82887,0.0015644,0.0015644,0.0015644
24,410.289,0.62444,0.42796,0.87489,0.97842,0.98573,0.99335,0.86196,0.51544,0.38548,0.82692,0.0015446,0.0015446,0.0015446
25,426.189,0.61341,0.42966,0.87376,0.99266,0.98696,0.99487,0.88621,0.48357,0.3557,0.81611,0.0015248,0.0015248,0.0015248
26,442.044,0.63086,0.43595,0.87855,0.98274,0.99,0.9942,0.85813,0.55574,0.38095,0.83401,0.001505,0.001505,0.001505
27,457.766,0.63034,0.4225,0.87349,0.98969,0.98696,0.99465,0.88819,0.48604,0.35341,0.82051,0.0014852,0.0014852,0.0014852
28,473.835,0.648,0.43681,0.88838,0.99122,0.98159,0.99435,0.87392,0.5247,0.35614,0.83273,0.0014654,0.0014654,0.0014654
29,490.892,0.60442,0.42195,0.87753,0.99525,0.98696,0.99474,0.86997,0.53716,0.34892,0.82406,0.0014456,0.0014456,0.0014456
30,504.368,0.60046,0.40593,0.8756,0.9948,0.98696,0.99483,0.89005,0.48012,0.32454,0.81589,0.0014258,0.0014258,0.0014258
31,521.034,0.61073,0.40224,0.87212,0.99118,0.97826,0.99461,0.87404,0.52687,0.32431,0.82968,0.001406,0.001406,0.001406
32,536.507,0.589,0.39843,0.87182,0.99477,0.98696,0.99465,0.87327,0.50703,0.33423,0.82732,0.0013862,0.0013862,0.0013862
33,552.364,0.5943,0.40227,0.87281,0.99475,0.9913,0.99496,0.88122,0.49215,0.31402,0.81917,0.0013664,0.0013664,0.0013664
34,568.693,0.59797,0.39504,0.87727,0.99813,0.9913,0.995,0.86593,0.53917,0.33722,0.8285,0.0013466,0.0013466,0.0013466
35,583.723,0.61625,0.39328,0.8764,0.98699,0.98964,0.99478,0.8857,0.48391,0.30954,0.82164,0.0013268,0.0013268,0.0013268
36,600.409,0.58348,0.37127,0.86948,0.9871,1,0.99478,0.88938,0.48402,0.2923,0.81704,0.001307,0.001307,0.001307
37,615.046,0.59394,0.3807,0.87247,0.99036,0.99565,0.99483,0.87455,0.53551,0.29844,0.8273,0.0012872,0.0012872,0.0012872
38,631.337,0.58143,0.37878,0.86976,0.98705,0.99565,0.9942,0.86372,0.57149,0.31171,0.83342,0.0012674,0.0012674,0.0012674
39,647.076,0.57814,0.37017,0.86693,0.99418,0.99565,0.99491,0.895,0.47165,0.28592,0.81684,0.0012476,0.0012476,0.0012476
40,662.902,0.58638,0.37193,0.87081,0.98601,1,0.99491,0.90487,0.46612,0.28297,0.8149,0.0012278,0.0012278,0.0012278
41,679.596,0.56385,0.36755,0.8599,1,0.99542,0.995,0.89857,0.44806,0.26929,0.80878,0.001208,0.001208,0.001208
42,694.986,0.58724,0.36714,0.86257,0.9995,1,0.995,0.88191,0.46321,0.26708,0.81273,0.0011882,0.0011882,0.0011882
43,710.904,0.57372,0.36998,0.86611,0.99496,0.99565,0.99483,0.90145,0.4547,0.27043,0.8141,0.0011684,0.0011684,0.0011684
44,726.382,0.56825,0.36064,0.86107,0.99636,0.99565,0.995,0.88952,0.48453,0.28989,0.81569,0.0011486,0.0011486,0.0011486
45,741.675,0.58794,0.3696,0.87362,0.99565,0.99465,0.995,0.88781,0.50128,0.29434,0.82119,0.0011288,0.0011288,0.0011288
46,756.939,0.57786,0.36433,0.86787,0.99562,0.98888,0.99487,0.8955,0.4462,0.27592,0.81039,0.001109,0.001109,0.001109
47,771.974,0.53359,0.33629,0.8589,1,0.99807,0.995,0.87749,0.50705,0.28871,0.82037,0.0010892,0.0010892,0.0010892
48,788.235,0.54773,0.34205,0.85462,0.99858,0.99565,0.995,0.86847,0.53582,0.29148,0.82634,0.0010694,0.0010694,0.0010694
49,803.893,0.53704,0.3406,0.85434,1,0.9995,0.995,0.90362,0.45563,0.27141,0.80856,0.0010496,0.0010496,0.0010496
50,821.39,0.5514,0.34702,0.86012,0.99907,1,0.995,0.9101,0.43239,0.26818,0.80438,0.0010298,0.0010298,0.0010298
51,838.135,0.54507,0.33845,0.85682,0.99503,1,0.995,0.90274,0.43163,0.25939,0.80587,0.00101,0.00101,0.00101
52,854.34,0.54948,0.34607,0.86277,0.99055,1,0.99483,0.90317,0.43762,0.26411,0.80788,0.0009902,0.0009902,0.0009902
