epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1536.62,0.60226,0.39772,0.87358,0.99947,1,0.995,0.87077,0.56038,0.35543,0.84713,0.0011684,0.0011684,0.0011684
44,1577.32,0.6291,0.39949,0.87874,0.99975,1,0.995,0.84992,0.59012,0.36513,0.85324,0.0011486,0.0011486,0.0011486
45,1609.55,0.60831,0.38921,0.86472,0.99905,1,0.995,0.85523,0.5593,0.37276,0.85176,0.0011288,0.0011288,0.0011288
46,1641.36,0.61133,0.39253,0.8787,1,0.99196,0.995,0.86875,0.55242,0.35778,0.84403,0.001109,0.001109,0.001109
47,1671.55,0.63147,0.40015,0.87217,0.99225,0.99985,0.99492,0.86782,0.58272,0.36497,0.8441,0.0010892,0.0010892,0.0010892
48,1702.61,0.61051,0.38488,0.87585,0.99952,1,0.995,0.87987,0.51504,0.32331,0.83302,0.0010694,0.0010694,0.0010694
49,1734.93,0.57919,0.36613,0.86826,1,0.99993,0.995,0.87998,0.51004,0.32073,0.83522,0.0010496,0.0010496,0.0010496
50,1767.85,0.61188,0.37686,0.884,0.99167,1,0.99492,0.88285,0.5306,0.3229,0.8352,0.0010298,0.0010298,0.0010298
51,1799.06,0.60523,0.37419,0.86715,0.99937,1,0.995,0.8851,0.49812,0.30964,0.82977,0.00101,0.00101,0.00101
52,1831.22,0.56952,0.36246,0.85574,0.99924,1,0.995,0.87305,0.51609,0.30237,0.83162,0.0009902,0.0009902,0.0009902
53,1862.56,0.56865,0.35692,0.86674,0.99934,1,0.995,0.88629,0.48247,0.2959,0.82694,0.0009704,0.0009704,0.0009704
54,1894.41,0.57064,0.36703,0.86953,0.99807,1,0.995,0.89541,0.48202,0.296,0.82587,0.0009506,0.0009506,0.0009506
55,1926.07,0.56616,0.35954,0.86743,0.9914,1,0.99492,0.88403,0.49191,0.30976,0.82687,0.0009308,0.0009308,0.0009308
56,1955.85,0.55918,0.36104,0.85909,0.99927,1,0.995,0.88814,0.48996,0.30332,0.82406,0.000911,0.000911,0.000911
57,1987.73,0.5659,0.35135,0.8599,0.99939,1,0.995,0.88265,0.49979,0.29607,0.82595,0.0008912,0.0008912,0.0008912
58,2019.26,0.56324,0.35603,0.86564,0.99928,1,0.995,0.89367,0.47788,0.29208,0.82104,0.0008714,0.0008714,0.0008714
59,2049.35,0.56431,0.35045,0.86569,0.99919,1,0.995,0.89218,0.47397,0.29691,0.82211,0.0008516,0.0008516,0.0008516
60,2080.61,0.55978,0.35125,0.85784,0.99868,1,0.995,0.88321,0.49731,0.29991,0.82256,0.0008318,0.0008318,0.0008318
61,2110.36,0.56602,0.33752,0.86422,0.9982,1,0.995,0.89129,0.46078,0.29189,0.81765,0.000812,0.000812,0.000812
62,2142.98,0.55672,0.34207,0.85524,0.99894,1,0.995,0.8901,0.47608,0.28479,0.81959,0.0007922,0.0007922,0.0007922
63,2176.37,0.55339,0.33708,0.85365,0.99932,1,0.995,0.89589,0.48439,0.27966,0.82159,0.0007724,0.0007724,0.0007724
64,2207.35,0.55914,0.338,0.85688,0.99934,1,0.995,0.88484,0.49951,0.28549,0.8266,0.0007526,0.0007526,0.0007526
65,2238.79,0.53667,0.33252,0.84788,0.99902,1,0.995,0.89963,0.44914,0.28232,0.8155,0.0007328,0.0007328,0.0007328
66,2269.18,0.5543,0.33321,0.85608,0.99882,1,0.995,0.89666,0.4601,0.28698,0.81881,0.000713,0.000713,0.000713
67,2300.82,0.54603,0.33289,0.85363,0.99897,1,0.995,0.89945,0.46034,0.29152,0.81774,0.0006932,0.0006932,0.0006932
68,2332.55,0.54084,0.33366,0.8595,0.99918,1,0.995,0.90769,0.4526,0.28327,0.81683,0.0006734,0.0006734,0.0006734
69,2365.12,0.53953,0.32294,0.85754,0.99942,1,0.995,0.90104,0.43867,0.2721,0.8147,0.0006536,0.0006536,0.0006536
70,2397.24,0.52256,0.32711,0.85206,0.99952,1,0.995,0.9074,0.4362,0.26306,0.81409,0.0006338,0.0006338,0.0006338
71,2429.39,0.54487,0.33513,0.86337,0.99951,1,0.995,0.9067,0.42975,0.26195,0.81373,0.000614,0.000614,0.000614
72,2462.33,0.52327,0.32908,0.84774,0.99927,1,0.995,0.90968,0.43475,0.26082,0.81424,0.0005942,0.0005942,0.0005942
73,2493.37,0.50463,0.3096,0.84869,0.999,1,0.995,0.91023,0.42802,0.26248,0.81274,0.0005744,0.0005744,0.0005744
74,2524.27,0.51025,0.31094,0.84618,0.99836,1,0.995,0.9113,0.42235,0.2626,0.81156,0.0005546,0.0005546,0.0005546
75,2555.95,0.52175,0.31961,0.85179,1,0.99928,0.995,0.91542,0.40857,0.26197,0.80954,0.0005348,0.0005348,0.0005348
76,2587.98,0.51182,0.32135,0.85585,0.99163,1,0.99492,0.92205,0.41093,0.26055,0.80977,0.000515,0.000515,0.000515
77,2620.01,0.49899,0.31609,0.8395,0.9951,1,0.995,0.90445,0.43324,0.26157,0.81478,0.0004952,0.0004952,0.0004952
78,2653.12,0.51238,0.32286,0.85637,0.9974,1,0.995,0.91164,0.41581,0.25586,0.81038,0.0004754,0.0004754,0.0004754
79,2684.81,0.50801,0.31628,0.84578,0.99816,1,0.995,0.91173,0.40048,0.25232,0.80516,0.0004556,0.0004556,0.0004556
80,2717.54,0.49808,0.30678,0.84359,0.99902,1,0.995,0.92024,0.41417,0.25545,0.80855,0.0004358,0.0004358,0.0004358
81,2749.7,0.48491,0.30647,0.84461,0.99915,1,0.995,0.91962,0.40064,0.24989,0.80911,0.000416,0.000416,0.000416
82,2780.18,0.48822,0.30166,0.84752,0.99927,1,0.995,0.9247,0.39311,0.24555,0.80655,0.0003962,0.0003962,0.0003962
83,2811.53,0.49092,0.3053,0.84641,0.99922,1,0.995,0.91029,0.40279,0.24674,0.80691,0.0003764,0.0003764,0.0003764
84,2843.22,0.49904,0.29817,0.84791,0.99895,1,0.995,0.92533,0.38082,0.24161,0.80401,0.0003566,0.0003566,0.0003566
85,2875.47,0.49275,0.30322,0.84892,0.99862,1,0.995,0.91784,0.38969,0.24117,0.80402,0.0003368,0.0003368,0.0003368
86,2906.43,0.49623,0.30398,0.84906,0.99876,1,0.995,0.92195,0.38961,0.24001,0.80406,0.000317,0.000317,0.000317
87,2937.08,0.4957,0.3028,0.84787,0.99904,1,0.995,0.93068,0.38165,0.23641,0.80269,0.0002972,0.0002972,0.0002972
88,2966.87,0.47456,0.29938,0.84775,0.99921,1,0.995,0.92947,0.37976,0.23671,0.80289,0.0002774,0.0002774,0.0002774
89,2999.27,0.47505,0.29469,0.84517,0.99921,1,0.995,0.92767,0.39503,0.23732,0.80552,0.0002576,0.0002576,0.0002576
90,3031.61,0.48948,0.30211,0.84574,0.99912,1,0.995,0.93075,0.38519,0.23469,0.80495,0.0002378,0.0002378,0.0002378
91,3057.35,0.45998,0.33966,0.83594,0.99887,1,0.995,0.93076,0.3731,0.23282,0.80297,0.000218,0.000218,0.000218
92,3086.52,0.44983,0.29277,0.81478,0.99906,1,0.995,0.93265,0.3791,0.24279,0.80266,0.0001982,0.0001982,0.0001982
93,3126.3,0.44876,0.29626,0.82442,0.99917,1,0.995,0.92769,0.37977,0.24482,0.80282,0.0001784,0.0001784,0.0001784
94,3166.38,0.42846,0.27353,0.82424,0.99912,1,0.995,0.92971,0.37842,0.23889,0.80323,0.0001586,0.0001586,0.0001586
95,3204.4,0.43558,0.28294,0.81072,0.9989,1,0.995,0.92778,0.38128,0.23484,0.80389,0.0001388,0.0001388,0.0001388
96,3242.37,0.42715,0.26748,0.81713,0.99844,1,0.995,0.92986,0.38343,0.23994,0.80373,0.000119,0.000119,0.000119
97,3281.98,0.44427,0.27213,0.82435,0.9987,1,0.995,0.93197,0.3844,0.23955,0.80379,9.92e-05,9.92e-05,9.92e-05
98,3321.36,0.4216,0.26279,0.82047,0.9989,1,0.995,0.93116,0.37377,0.23398,0.80179,7.94e-05,7.94e-05,7.94e-05
99,3360.19,0.42766,0.26374,0.82238,0.999,1,0.995,0.9332,0.36978,0.23168,0.80125,5.96e-05,5.96e-05,5.96e-05
100,3390.77,0.4205,0.26234,0.82109,0.99911,1,0.995,0.92903,0.37269,0.22977,0.80157,3.98e-05,3.98e-05,3.98e-05
