epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1274,1.11437,3.31115,1.2197,0.02178,0.68293,0.02431,0.01374,0.84872,3.10793,1.03326,6e-05,6e-05,6e-05
2,39.1452,1.13235,3.29323,1.22146,0.02944,0.92334,0.10076,0.06831,0.73897,2.98921,0.92053,0.000139307,0.000139307,0.000139307
3,46.9312,0.84651,2.49199,0.97633,0.07306,0.63763,0.43709,0.34383,0.73573,2.58502,0.87387,0.000217822,0.000217822,0.000217822
4,55.8853,0.82738,1.38731,0.92408,0.95313,0.49604,0.82423,0.61669,0.84741,2.01603,0.87764,0.000295545,0.000295545,0.000295545
5,63.906,0.77701,0.92886,0.91782,0.98861,0.60498,0.86766,0.70699,0.76209,1.88986,0.87399,0.000372476,0.000372476,0.000372476
6,71.6878,0.72563,0.7684,0.90269,0.98687,0.78549,0.89067,0.70689,0.80738,1.54071,0.89481,0.000448615,0.000448615,0.000448615
7,80.4493,0.70862,0.69622,0.89315,0.96571,0.88318,0.94153,0.74451,0.78688,1.36563,0.86663,0.000523962,0.000523962,0.000523962
8,89.2663,0.70904,0.67792,0.89033,0.93511,0.87108,0.93653,0.74068,0.79468,1.16844,0.86605,0.000598517,0.000598517,0.000598517
9,97.944,0.72671,0.6515,0.89261,0.95546,0.89691,0.95444,0.77458,0.6961,1.22386,0.84352,0.00067228,0.00067228,0.00067228
10,106.162,0.71239,0.62306,0.89222,0.9357,0.87456,0.94017,0.76075,0.68214,1.24146,0.83957,0.000745251,0.000745251,0.000745251
11,114.428,0.70285,0.59779,0.89166,0.94823,0.89341,0.94958,0.77481,0.72771,1.22995,0.85935,0.00081743,0.00081743,0.00081743
12,122.26,0.70963,0.57975,0.88583,0.97771,0.91697,0.9629,0.77529,0.75015,1.1044,0.85622,0.000888817,0.000888817,0.000888817
13,130.157,0.66972,0.56305,0.88456,0.95405,0.9404,0.96928,0.80346,0.64884,1.22089,0.82973,0.000959412,0.000959412,0.000959412
14,138.147,0.69247,0.5745,0.88094,0.9765,0.93728,0.97714,0.75759,0.82521,1.04824,0.87345,0.00102922,0.00102922,0.00102922
15,146.444,0.68833,0.55351,0.8885,0.98809,0.86704,0.94053,0.76535,0.73143,1.2202,0.86386,0.00109823,0.00109823,0.00109823
