epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.104,1.15643,3.26484,1.24283,0.04159,0.90305,0.21568,0.1283,0.92816,3.11697,1.0543,0.00010002,0.00010002,0.00010002
2,92.4375,0.96637,2.53902,1.0755,0.04216,0.95692,0.24063,0.15858,0.89015,2.87508,1.04,0.000214565,0.000214565,0.000214565
3,122.549,0.9113,1.50692,1.0624,0.88641,0.35087,0.75014,0.5688,0.89125,2.2631,1.05761,0.000326799,0.000326799,0.000326799
4,152.644,0.88733,1.23076,1.07362,0.91797,0.60926,0.84063,0.64848,0.868,2.02638,1.03388,0.000436722,0.000436722,0.000436722
5,182.139,0.86081,1.11336,1.03764,0.83404,0.7181,0.89847,0.673,0.94163,1.81788,1.07621,0.000544336,0.000544336,0.000544336
6,211.996,0.84798,1.00313,1.04998,0.7791,0.80439,0.91878,0.69286,0.89882,1.49095,1.06104,0.000649638,0.000649638,0.000649638
7,241.811,0.84196,0.90398,1.05089,0.63307,0.80017,0.79441,0.59713,0.86902,2.64815,1.03854,0.00075263,0.00075263,0.00075263
8,272.403,0.85774,0.85726,1.03519,0.62607,0.82666,0.75367,0.57549,0.83586,3.00673,1.02984,0.000853312,0.000853312,0.000853312
9,301.322,0.83332,0.84595,1.03569,0.62141,0.86992,0.77887,0.58068,0.8685,2.56944,1.06816,0.000951684,0.000951684,0.000951684
10,332.026,0.8174,0.81804,1.02919,0.79641,0.73612,0.90475,0.68588,0.86012,1.31188,1.06388,0.00104774,0.00104774,0.00104774
11,366.759,0.80121,0.81353,1.03091,0.80866,0.84963,0.91441,0.70836,0.82424,1.39421,1.02957,0.00114149,0.00114149,0.00114149
12,402.464,0.80168,0.76537,1.00429,0.79635,0.91101,0.93948,0.73938,0.7995,1.05671,1.01965,0.00123293,0.00123293,0.00123293
13,438.187,0.78234,0.72907,1.01571,0.73703,0.91098,0.89967,0.7145,0.77128,1.10892,0.99118,0.00132206,0.00132206,0.00132206
14,474.219,0.79976,0.71453,1.00103,0.78781,0.85402,0.94941,0.73992,0.80229,1.12755,1.00244,0.00140888,0.00140888,0.00140888
15,511.835,0.78113,0.70596,1.00182,0.86665,0.90062,0.97385,0.78629,0.73697,0.92581,0.96839,0.00143595,0.00143595,0.00143595
16,545.509,0.79467,0.7057,0.99834,0.84875,0.92673,0.96427,0.77057,0.74065,0.83814,0.98287,0.00141945,0.00141945,0.00141945
17,572.329,0.79228,0.67768,1.01163,0.80838,0.94784,0.96541,0.76954,0.7656,0.85111,0.98655,0.00140295,0.00140295,0.00140295
18,600.233,0.76812,0.66976,0.97059,0.75943,0.88209,0.95344,0.7755,0.75613,0.97998,0.96834,0.00138644,0.00138644,0.00138644
19,630.903,0.78198,0.6682,0.99534,0.76216,0.90906,0.94611,0.73216,0.82218,0.89354,1.01703,0.00136994,0.00136994,0.00136994
20,660.556,0.76581,0.64861,0.99629,0.76187,0.87268,0.9211,0.70051,0.80577,0.91858,1.04095,0.00135344,0.00135344,0.00135344
21,689.788,0.74338,0.62902,0.97865,0.81976,0.85525,0.92896,0.71439,0.79394,0.85065,1.03457,0.00133693,0.00133693,0.00133693
22,722.027,0.74531,0.6109,0.98098,0.80919,0.93068,0.9519,0.73351,0.78646,0.8874,1.02634,0.00132043,0.00132043,0.00132043
23,752.608,0.74962,0.6315,0.98255,0.78954,0.88744,0.93873,0.74951,0.75949,0.8606,1.01045,0.00130393,0.00130393,0.00130393
24,779.922,0.74297,0.61229,0.98753,0.80487,0.91888,0.96819,0.78277,0.7486,0.76608,0.98991,0.00128742,0.00128742,0.00128742
25,811.477,0.74706,0.59603,0.97675,0.84283,0.92644,0.96502,0.78948,0.72445,0.72939,0.97769,0.00127092,0.00127092,0.00127092
26,840.702,0.69932,0.56034,0.94484,0.95048,0.95811,0.98103,0.79857,0.70376,0.62494,0.96679,0.00125442,0.00125442,0.00125442
27,869.851,0.68025,0.55523,0.95605,0.97098,0.95453,0.98706,0.81908,0.70515,0.63233,0.95524,0.00123791,0.00123791,0.00123791
28,897.77,0.71686,0.57328,0.97202,0.98202,0.9465,0.98889,0.84212,0.65587,0.60452,0.93636,0.00122141,0.00122141,0.00122141
29,929.85,0.68826,0.55224,0.9549,0.98283,0.97027,0.9915,0.83528,0.67126,0.57116,0.94937,0.00120491,0.00120491,0.00120491
30,959.481,0.69713,0.57115,0.96465,0.95122,0.98386,0.98912,0.83342,0.66374,0.55768,0.94139,0.0011884,0.0011884,0.0011884
31,993.162,0.68596,0.54018,0.95793,0.9711,0.98063,0.99017,0.84198,0.63297,0.53432,0.92927,0.0011719,0.0011719,0.0011719
32,1024.33,0.68496,0.54579,0.95415,0.94818,0.97651,0.99141,0.83918,0.63244,0.546,0.92141,0.0011554,0.0011554,0.0011554
33,1057.93,0.68941,0.54492,0.96181,0.95571,0.98214,0.99208,0.84069,0.64588,0.52858,0.92856,0.00113889,0.00113889,0.00113889
34,1089.67,0.67238,0.53141,0.95308,0.98538,0.99462,0.99307,0.85097,0.63748,0.50016,0.91759,0.00112239,0.00112239,0.00112239
35,1122.17,0.68079,0.52724,0.94902,0.99043,0.99569,0.99372,0.85262,0.63495,0.47647,0.91818,0.00110589,0.00110589,0.00110589
36,1157.6,0.65826,0.52642,0.94553,0.97498,0.98708,0.9935,0.85674,0.60799,0.459,0.90934,0.00108938,0.00108938,0.00108938
37,1188.89,0.68127,0.52779,0.9423,0.97817,0.99577,0.99207,0.85463,0.61175,0.46452,0.90962,0.00107288,0.00107288,0.00107288
38,1217,0.67633,0.52846,0.94942,0.95986,0.9805,0.99037,0.83702,0.64804,0.50697,0.92491,0.00105638,0.00105638,0.00105638
39,1244.64,0.66946,0.50262,0.94843,0.96238,0.97573,0.99279,0.85068,0.62743,0.50693,0.92279,0.00103987,0.00103987,0.00103987
40,1271.59,0.64791,0.48798,0.94107,0.9897,1,0.99297,0.8544,0.60628,0.46769,0.91171,0.00102337,0.00102337,0.00102337
41,1301.17,0.65673,0.4944,0.94591,0.99045,0.99516,0.99302,0.85316,0.60422,0.47346,0.91212,0.00100687,0.00100687,0.00100687
42,1331.62,0.61886,0.47997,0.93373,0.9862,0.99677,0.99239,0.85644,0.58086,0.46583,0.89967,0.000990365,0.000990365,0.000990365
43,1361.05,0.63572,0.48534,0.93465,0.98418,0.99242,0.99035,0.85692,0.59784,0.46939,0.90456,0.000973861,0.000973861,0.000973861
44,1388.79,0.63359,0.48046,0.93394,0.98129,0.98339,0.9916,0.86782,0.57975,0.44585,0.90028,0.000957358,0.000957358,0.000957358
45,1416.52,0.63408,0.48683,0.93008,0.98725,0.9918,0.99239,0.87261,0.57591,0.43839,0.89816,0.000940855,0.000940855,0.000940855
46,1444.54,0.62383,0.49762,0.92855,0.98465,0.99292,0.99375,0.86927,0.58904,0.44597,0.90556,0.000924352,0.000924352,0.000924352
47,1472.54,0.62517,0.48012,0.93777,0.98617,0.9922,0.99398,0.88083,0.55553,0.44828,0.89118,0.000907848,0.000907848,0.000907848
48,1508.55,0.62587,0.48728,0.92049,0.99319,0.9901,0.99398,0.87539,0.56044,0.43861,0.89518,0.000891345,0.000891345,0.000891345
49,1545.73,0.62759,0.46352,0.92884,0.99143,0.98957,0.99379,0.87667,0.54844,0.42939,0.88944,0.000874842,0.000874842,0.000874842
50,1582.76,0.62937,0.46206,0.93231,0.99304,1,0.99423,0.88304,0.54559,0.41196,0.88694,0.000858338,0.000858338,0.000858338
