epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7624,0.90206,3.13143,1.05621,0.02562,0.97619,0.07632,0.05894,0.67963,2.99436,0.8526,0.00012,0.00012,0.00012
2,95.6792,0.81049,1.84106,0.93164,0.9438,0.26984,0.77646,0.59337,0.77827,2.21331,0.86332,0.000257426,0.000257426,0.000257426
3,126.438,0.79363,0.90919,0.91907,0.94551,0.82622,0.9361,0.74428,0.76187,1.69558,0.86191,0.00039208,0.00039208,0.00039208
4,155.546,0.83298,0.83323,0.94763,1,0.83589,0.93971,0.78126,0.71505,1.46729,0.84438,0.000523962,0.000523962,0.000523962
5,181.545,0.78811,0.79302,0.91997,0.96442,0.92063,0.97664,0.7959,0.72663,1.16368,0.84665,0.000653072,0.000653072,0.000653072
6,217.067,0.75681,0.71928,0.90835,0.98218,0.96825,0.99279,0.78633,0.7312,0.96374,0.84107,0.00077941,0.00077941,0.00077941
7,249.427,0.74966,0.67841,0.89977,0.96865,0.9809,0.98966,0.80307,0.68323,1.2023,0.83567,0.000902976,0.000902976,0.000902976
8,277.973,0.75395,0.67908,0.91734,0.95994,0.95103,0.9901,0.81158,0.67056,1.2618,0.83447,0.00102377,0.00102377,0.00102377
9,308.366,0.74674,0.66204,0.89814,0.95202,0.94491,0.98583,0.80681,0.67957,1.00752,0.83647,0.00114179,0.00114179,0.00114179
10,338.674,0.73938,0.61434,0.89491,0.97796,0.93651,0.99195,0.80833,0.69643,0.84718,0.83994,0.00125704,0.00125704,0.00125704
11,367.936,0.74013,0.61464,0.89409,0.97195,0.98413,0.99368,0.80395,0.677,0.89599,0.83424,0.00136952,0.00136952,0.00136952
12,398.866,0.73034,0.60294,0.90194,1,0.92299,0.97603,0.83034,0.62978,0.83234,0.82849,0.00147923,0.00147923,0.00147923
13,429.9,0.72449,0.61559,0.8926,1,0.95935,0.99323,0.84674,0.63681,0.7501,0.82909,0.00158616,0.00158616,0.00158616
